Current       Voltage         Power         Tempreture        Humidity          Flux          Illuminance         LM35-1      LM35-2        SNo.      LM35-3      LM35-4

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        24416.00*LX        192.89*W/m2        10.96*C        11.49*C        751        26.85*C        26.96*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        23632.00*LX        186.69*W/m2        11.06*C        11.49*C        752        23.31*C        25.56*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        23659.00*LX        186.91*W/m2        11.06*C        11.49*C        753        7.52*C        16.00*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        11871.00*LX        93.78*W/m2        11.17*C        11.39*C        754        29.97*C        29.65*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        22183.00*LX        175.25*W/m2        11.06*C        11.39*C        755        50.59*C        41.14*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        11136.00*LX        87.97*W/m2        11.06*C        11.39*C        756        71.86*C        54.56*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        19133.00*LX        151.15*W/m2        11.06*C        11.28*C        757        44.36*C        38.88*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        16131.00*LX        127.43*W/m2        10.96*C        11.28*C        758        28.57*C        28.57*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        14008.00*LX        110.66*W/m2        10.96*C        11.28*C        759        38.02*C        35.34*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        13180.00*LX        104.12*W/m2        10.85*C        11.28*C        760        61.33*C        47.80*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        14684.00*LX        116.00*W/m2        10.85*C        11.28*C        761        79.27*C        59.40*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        26749.00*LX        211.32*W/m2        10.85*C        11.17*C        762        79.05*C        60.15*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        24681.00*LX        194.98*W/m2        10.74*C        11.17*C        763        6.02*C        17.29*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        23801.00*LX        188.03*W/m2        10.85*C        11.17*C        764        29.65*C        28.89*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        25358.00*LX        200.33*W/m2        10.74*C        11.06*C        765        4.40*C        15.25*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        24686.00*LX        195.02*W/m2        10.85*C        11.17*C        766        46.94*C        40.71*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        24640.00*LX        194.66*W/m2        10.85*C        11.06*C        767        29.00*C        28.46*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        25415.00*LX        200.78*W/m2        10.85*C        11.06*C        768        33.83*C        31.26*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        27852.00*LX        220.03*W/m2        10.96*C        11.17*C        769        21.37*C        23.63*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        25955.00*LX        205.04*W/m2        10.96*C        11.17*C        770        32.98*C        31.15*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        25442.00*LX        200.99*W/m2        10.85*C        11.17*C        771        27.71*C        27.82*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        24936.00*LX        196.99*W/m2        10.74*C        11.17*C        772        27.39*C        27.07*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        28084.00*LX        221.86*W/m2        10.96*C        11.28*C        773        22.77*C        24.06*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        26286.00*LX        207.66*W/m2        10.85*C        11.17*C        774        20.41*C        23.20*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        25109.00*LX        198.36*W/m2        10.96*C        11.17*C        775        17.83*C        22.02*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        24470.00*LX        193.31*W/m2        10.85*C        11.28*C        776        25.67*C        26.64*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        23795.00*LX        187.98*W/m2        10.85*C        11.28*C        777        26.32*C        26.96*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        23657.00*LX        186.89*W/m2        10.85*C        11.17*C        778        29.43*C        28.79*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        23740.00*LX        187.55*W/m2        10.85*C        11.39*C        779        24.60*C        25.56*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        24378.00*LX        192.59*W/m2        10.85*C        11.28*C        780        25.56*C        26.32*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        22397.00*LX        176.94*W/m2        10.85*C        11.28*C        781        18.47*C        22.99*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        23232.00*LX        183.53*W/m2        10.96*C        11.17*C        782        15.57*C        21.16*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        24586.00*LX        194.23*W/m2        10.85*C        11.28*C        783        17.51*C        22.02*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        11618.00*LX        91.78*W/m2        10.96*C        13.64*C        784        23.31*C        17.83*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        19220.00*LX        151.84*W/m2        10.96*C        11.71*C        785        25.89*C        24.60*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        19965.00*LX        157.72*W/m2        10.85*C        12.24*C        786        35.55*C        34.48*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        1928.00*LX        15.23*W/m2        10.85*C        11.06*C        787        23.52*C        26.21*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        4480.00*LX        35.39*W/m2        10.85*C        10.96*C        788        25.24*C        26.42*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        20770.00*LX        164.08*W/m2        10.74*C        10.96*C        789        17.94*C        22.23*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        21063.00*LX        166.40*W/m2        10.74*C        10.96*C        790        14.61*C        20.09*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        20229.00*LX        159.81*W/m2        10.53*C        10.85*C        791        9.34*C        17.19*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        18840.00*LX        148.84*W/m2        10.53*C        10.96*C        792        27.50*C        27.50*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        17724.00*LX        140.02*W/m2        10.63*C        10.85*C        793        18.80*C        22.45*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        16472.00*LX        130.13*W/m2        10.63*C        10.85*C        794        26.96*C        27.39*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        17086.00*LX        134.98*W/m2        10.63*C        10.85*C        795        18.58*C        22.23*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        16349.00*LX        129.16*W/m2        10.53*C        10.85*C        796        25.35*C        26.75*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        15757.00*LX        124.48*W/m2        10.63*C        10.74*C        797        22.88*C        24.92*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        16744.00*LX        132.28*W/m2        10.63*C        10.63*C        798        14.72*C        20.95*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        16515.00*LX        130.47*W/m2        10.53*C        10.63*C        799        22.66*C        25.24*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        6570.00*LX        51.90*W/m2        10.63*C        10.74*C        800        65.09*C        52.09*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        4625.00*LX        36.54*W/m2        10.63*C        10.63*C        801        27.28*C        27.50*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        3601.00*LX        28.45*W/m2        10.63*C        10.74*C        802        21.80*C        24.70*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        3194.00*LX        25.23*W/m2        10.74*C        10.63*C        803        2.58*C        13.43*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        11435.00*LX        90.34*W/m2        10.63*C        10.63*C        804        27.50*C        27.50*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        14153.00*LX        111.81*W/m2        10.63*C        10.63*C        805        54.56*C        45.01*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        13460.00*LX        106.33*W/m2        10.74*C        10.63*C        806        71.21*C        55.42*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        50796.00*LX        401.29*W/m2        10.74*C        10.53*C        807        65.95*C        50.38*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.53*C        10.63*C        808        66.38*C        50.27*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.63*C        809        56.82*C        45.22*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.53*C        10.53*C        810        44.25*C        37.38*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.53*C        811        55.42*C        44.58*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.63*C        812        62.08*C        48.34*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.63*C        813        81.42*C        61.76*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        10.63*C        814        25.03*C        24.92*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.63*C        815        81.74*C        61.98*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        10.74*C        816        63.59*C        49.30*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        10.74*C        817        9.45*C        17.51*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        53659.00*LX        423.91*W/m2        10.74*C        10.74*C        818        14.93*C        19.55*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        10.74*C        819        25.46*C        26.42*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        20268.00*LX        160.12*W/m2        10.63*C        10.74*C        820        22.34*C        24.60*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        51894.00*LX        409.96*W/m2        10.63*C        10.85*C        821        20.73*C        23.52*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.74*C        822        23.63*C        25.35*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.85*C        823        17.19*C        21.16*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.85*C        824        18.15*C        21.05*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.96*C        825        44.79*C        37.38*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.85*C        826        21.16*C        23.95*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.85*C        827        28.25*C        27.93*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.96*C        828        19.44*C        22.77*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.96*C        829        4.73*C        13.64*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.53*C        10.96*C        830        13.64*C        19.01*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.53*C        10.96*C        831        50.91*C        43.18*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        24259.00*LX        191.65*W/m2        10.53*C        10.96*C        832        30.08*C        29.75*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        11.06*C        833        31.15*C        29.54*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        10.96*C        834        28.36*C        27.82*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        15157.00*LX        119.74*W/m2        10.74*C        10.96*C        835        28.14*C        28.03*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        16625.00*LX        131.34*W/m2        10.74*C        11.06*C        836        22.77*C        23.95*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        11.06*C        837        22.34*C        24.38*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        11.06*C        838        23.20*C        24.70*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        11.06*C        839        30.93*C        28.57*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        11.17*C        840        36.31*C        32.44*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        19686.00*LX        155.52*W/m2        10.63*C        11.06*C        841        20.73*C        22.88*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        11.17*C        842        15.57*C        19.12*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        25.00*LX        0.20*W/m2        10.63*C        11.17*C        843        14.93*C        20.09*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        8.00*LX        0.06*W/m2        10.74*C        11.06*C        844        19.98*C        23.20*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        24.00*LX        0.19*W/m2        10.63*C        11.17*C        845        83.78*C        64.34*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        21.00*LX        0.17*W/m2        10.74*C        11.06*C        846        50.81*C        42.21*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        20.00*LX        0.16*W/m2        10.63*C        11.06*C        847        43.61*C        36.95*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        14.00*LX        0.11*W/m2        10.63*C        11.17*C        848        28.57*C        27.93*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        11.17*C        849        23.52*C        25.13*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        11.17*C        850        16.97*C        20.95*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        11.17*C        851        24.81*C        25.46*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        11.17*C        852        31.36*C        29.75*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        11.17*C        853        6.98*C        15.25*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.63*C        11.28*C        854        13.86*C        19.33*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        11.28*C        855        15.90*C        20.62*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        11.39*C        856        18.47*C        22.13*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.85*C        11.28*C        857        18.05*C        21.27*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.85*C        11.28*C        858        23.31*C        24.92*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.85*C        11.28*C        859        19.33*C        22.34*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.96*C        11.39*C        860        18.47*C        22.02*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.96*C        11.28*C        861        22.13*C        24.38*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.06*C        11.39*C        862        18.05*C        22.13*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.06*C        11.39*C        863        19.66*C        22.34*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.06*C        11.39*C        864        25.24*C        25.78*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.06*C        11.28*C        865        18.26*C        21.48*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.17*C        11.39*C        866        16.11*C        20.19*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.06*C        11.28*C        867        21.37*C        23.52*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.39*C        868        35.45*C        32.44*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        891.00*LX        7.04*W/m2        11.17*C        11.49*C        869        34.69*C        31.47*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.17*C        11.39*C        870        16.97*C        21.37*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.17*C        11.49*C        871        18.15*C        21.80*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.39*C        872        80.67*C        61.44*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.39*C        873        33.08*C        31.26*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.49*C        874        9.24*C        16.54*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.49*C        875        27.28*C        27.60*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.49*C        876        43.07*C        36.95*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.49*C        877        25.13*C        25.99*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.49*C        878        17.83*C        21.16*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.49*C        879        23.95*C        25.24*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.28*C        11.49*C        880        11.60*C        18.37*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.49*C        881        15.90*C        20.95*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.49*C        882        19.66*C        23.20*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        11.28*C        11.49*C        883        18.58*C        22.13*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.49*C        884        16.76*C        20.95*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.49*C        885        18.80*C        22.23*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.49*C        886        18.58*C        22.13*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.60*C        887        19.55*C        22.56*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.49*C        888        18.69*C        22.02*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.49*C        889        17.40*C        21.37*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.49*C        890        33.73*C        32.12*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.60*C        891        21.80*C        23.95*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.60*C        892        24.92*C        26.32*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.60*C        893        20.62*C        23.20*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.60*C        894        19.98*C        22.77*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.60*C        895        7.41*C        16.00*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.71*C        896        12.67*C        18.37*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.60*C        897        11.71*C        17.94*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.60*C        898        12.24*C        18.05*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.71*C        899        38.35*C        33.51*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.60*C        900        8.06*C        15.79*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.06*C        11.71*C        901        32.22*C        29.65*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.17*C        11.71*C        902        22.66*C        24.27*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.17*C        11.60*C        903        8.70*C        16.65*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.71*C        904        37.70*C        32.98*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.17*C        11.60*C        905        31.79*C        29.54*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.71*C        906        45.97*C        38.99*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.71*C        907        30.29*C        28.79*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.71*C        908        7.95*C        15.47*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.82*C        909        11.60*C        18.26*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.82*C        910        13.32*C        19.12*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.82*C        911        36.63*C        32.01*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.39*C        11.82*C        912        5.48*C        14.18*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.28*C        11.71*C        913        36.52*C        32.01*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.06*C        11.71*C        914        8.59*C        16.33*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.06*C        11.82*C        915        13.64*C        19.12*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        11.06*C        11.82*C        916        14.39*C        19.55*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.96*C        11.82*C        917        14.50*C        19.66*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.85*C        11.82*C        918        13.21*C        18.80*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.74*C        11.82*C        919        14.82*C        19.87*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.53*C        11.82*C        920        15.57*C        20.19*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.53*C        11.82*C        921        15.15*C        19.98*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.42*C        11.92*C        922        41.78*C        35.23*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.53*C        11.82*C        923        7.84*C        15.57*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.53*C        11.82*C        924        29.43*C        27.93*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.53*C        11.71*C        925        21.80*C        23.52*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.53*C        11.82*C        926        52.09*C        41.68*C

        25.00*A        0.05*mV        1.25*Watt        33.00*C        13.00%        54612.00*LX        431.43*W/m2        10.42*C        11.82*C        927        12.67*C        18.69*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.53*C        11.82*C        928        15.36*C        19.98*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.53*C        11.71*C        929        60.37*C        48.66*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.63*C        11.82*C        930        35.88*C        32.12*C

        25.00*A        0.05*mV        1.25*Watt        32.00*C        14.00%        54612.00*LX        431.43*W/m2        10.63*C        11.82*C        931        27.18*C        26.75*C

